title,company,location,experience,job_url,search_role,source,scraped_date,skills_str
Data Analyst,HCLTech,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5864442719?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=3FCC8C06CFA5A3AB39F7A580208FCEDAE0EE2459,data analyst,adzuna,2026-09-01,SQL
Data Analyst,Nians,India,,https://www.adzuna.in/land/ad/5864443196?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=10338B8934051D3701B8DAAFEA2D92D893FF8C64,data analyst,adzuna,2026-09-01,
Data Analyst,HRM Counsel,India,,https://www.adzuna.in/land/ad/5864428352?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=71D4D6C566DC5731DF452101CFACAAFB8D378C57,data analyst,adzuna,2026-09-01,
Data Analyst,EXL,"Chennai, Tamil Nadu",,https://www.adzuna.in/land/ad/5864432449?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=0464D1D46052005EBAED171BB113CF1C11F71B8A,data analyst,adzuna,2026-09-01,"Communication, SQL"
Data Analyst,Mastek,"Noida, Ghaziabad",,https://www.adzuna.in/land/ad/5864427756?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=AEA628F23277BB549AA88D2B32E11A5A05E1DA74,data analyst,adzuna,2026-09-01,"Power BI, Python, SQL, Spark, Tableau"
Data Analyst,Netraon,India,,https://www.adzuna.in/land/ad/5864437490?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=3E622A2D205FA0432C74A65E8F26740A3690770E,data analyst,adzuna,2026-09-01,
Data Analyst,AGOS Aviation,"Mumbai, Maharashtra",,https://www.adzuna.in/land/ad/5864431866?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=271C67E754E0184CB68BA0EA8B440D24E173CFC0,data analyst,adzuna,2026-09-01,
Data Analyst,NexionPro Services,India,,https://www.adzuna.in/land/ad/5864435765?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=442843C4F79646DF26777BF3EA7700B5EBC30A07,data analyst,adzuna,2026-09-01,SQL
Data Analyst,MS CLINICAL RESEARCH,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5864436500?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=122F8311D1C4B66536CD2B390A4E3799EDEF9EBD,data analyst,adzuna,2026-09-01,
Data Analyst,Navneet Education Limited,"Mumbai, Maharashtra",,https://www.adzuna.in/land/ad/5864437276?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=CBFD3B418F4F5047CE2C86024B62EAF2B43A67C6,data analyst,adzuna,2026-09-01,Power BI
Data Analyst,Buzzivo,"Uttarakhand, India",,https://www.adzuna.in/land/ad/5864430903?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=9110A9FCB4E58735441D28834CBA8295C6F14A2C,data analyst,adzuna,2026-09-01,
Data Analyst,ShrinQ Consulting Group Inc,India,,https://www.adzuna.in/land/ad/5864594008?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=A22A9E203B06862C3A5E66E8F0D1C904BECAC838,data analyst,adzuna,2026-09-01,
Data Analyst,Mastek,"Noida, Ghaziabad",,https://www.adzuna.in/land/ad/5864431665?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=8443AA337205F064EB326A1AFEC1954D0DE0BC97,data analyst,adzuna,2026-09-01,"Communication, SQL"
Data Analyst,S&P Global,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5865064897?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=0638184FAF770C51CA0E0D40D9B8984148535B73,data analyst,adzuna,2026-09-01,
Data Analyst / Data Engineer,DocOnline,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5864422728?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=C3B2D30A1D195D2D241A350ED5C97C99E92E9015,data analyst,adzuna,2026-09-01,
BI Data Analyst,Sutherland,India,,https://www.adzuna.in/land/ad/5864432403?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=583926D777B5E7FE0CB6FCE541002960AEF8CA52,data analyst,adzuna,2026-09-01,
Senior Data Analyst,Capco,India,,https://www.adzuna.in/land/ad/5837139892?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=4787DEB72117F1E1AE98E353D8AD9B20E9DD6C9B,data analyst,adzuna,2026-09-01,Python
Master Data Analyst,Pharmanovia,"Mumbai, Maharashtra",,https://www.adzuna.in/land/ad/5864427175?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=E5166F71AFE1A79DAC5580E44C20F89333C7B0D3,data analyst,adzuna,2026-09-01,
Lead Data Analyst,Dyson,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5864436751?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=EFB2316EED14F05CADFBEBED6C20C00C4C82BA72,data analyst,adzuna,2026-09-01,
Business Data Analyst,Capco,India,,https://www.adzuna.in/land/ad/5837139431?se=gik5ASum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=9F2281852FD004BE4D0EAD9279FE898C7B3E11ED,data analyst,adzuna,2026-09-01,
Senior Data Analyst,Chubb,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5864435853?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=DA1D1657194496199E2F9F84028D536FC9094189,data analyst,adzuna,2026-09-01,
Senior Data Analyst,Walmart Global Tech India,"Chennai, Tamil Nadu",,https://www.adzuna.in/land/ad/5864437239?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=E8CB5C1656F374F9014471506295894CECB88560,data analyst,adzuna,2026-09-01,
Data Analyst / Engineer,Kyndryl,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5855007053?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=987DAA3F2A13BDCC295A40B49D687ABE3F6B00F5,data analyst,adzuna,2026-09-01,
Liquidity - Data Analyst,Capco,India,,https://www.adzuna.in/land/ad/5837139895?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=79B2AB8CAF9701F61DCB4DE422AE3B158EB7D1F2,data analyst,adzuna,2026-09-01,
Data Analyst- Geology,S&P Global,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5859662577?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=16E84E5C9812DC7D6DE8F384F3B7FEB570FFD3C3,data analyst,adzuna,2026-09-01,
Data Analyst - Fenergo,eClerx,"Mumbai, Maharashtra",,https://www.adzuna.in/land/ad/5864423408?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=8BD3BA04F30F38710251308002EAFB129D4437AD,data analyst,adzuna,2026-09-01,"Python, SQL"
Senior Data Analyst,Prescience Decision Solutions,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5864427373?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=687D8C20A823EBBDC541E566B6C08EABC2579CE0,data analyst,adzuna,2026-09-01,"Communication, SQL"
Data Analyst - Data Remediation - Mumbai,Capco,"Mumbai, Maharashtra",,https://www.adzuna.in/land/ad/5857251181?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=E627D12D3B0555AB7B69176F505B871F5F83ABC5,data analyst,adzuna,2026-09-01,
Liquidity Reporting- data analyst,Capco,India,,https://www.adzuna.in/land/ad/5857251154?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=E11D60935C9511D08C74F601EB2D3CA382573ADF,data analyst,adzuna,2026-09-01,
Product Marketing Data Analyst,Danaher,"Maharashtra, India",,https://www.adzuna.in/land/ad/5846723089?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=FD0BD05DE843F3BDED634B0C1DBF729F860AD76C,data analyst,adzuna,2026-09-01,
Senior Researcher & Data Analyst,Brainware University,"Barasat, North 24 Parganas",,https://www.adzuna.in/land/ad/5864435864?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=9F3F83C894062448AD53F3788D25942CC2977723,data analyst,adzuna,2026-09-01,
Data Analyst - Central Analytics,Kapiva,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5864435899?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=4E3B0A5DD0470599B0933CBA9C4F511EEE602694,data analyst,adzuna,2026-09-01,
Online Data Analyst - Odia Language.,TELUS,India,,https://www.adzuna.in/land/ad/5864442476?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=C2C4FA1020F34EBB96F3077C9711DF94F424F7F9,data analyst,adzuna,2026-09-01,
Online Data Analyst Urdu _India,TELUS Digital AI Data Solutions,India,,https://www.adzuna.in/land/ad/5864431974?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=01A13B06799CE22D37702B68F8348162D5040672,data analyst,adzuna,2026-09-01,
"Sr Manager, Senior Data Analyst",Standard Chartered Bank,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5854537719?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=EBA3E5A1C90D3E6A92603C46CEEC7ABAC2746B3A,data analyst,adzuna,2026-09-01,
"Senior Data Analyst (SQL, ETL, Python)",Health Catalyst,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5864426170?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=6EBD97937B093309CD25E63349A40D36C2CA4FCB,data analyst,adzuna,2026-09-01,"Python, SQL"
"Senior Marketing Data Analyst (Python, SQL)",Blend,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5864437348?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=61FFF99584786DBB66E8401001706E67D545896C,data analyst,adzuna,2026-09-01,"Python, SQL"
Senior Data Analyst I [T500-28464],Marriott Tech Accelerator,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5864438930?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=A7EC8F513243AA3A48D4F3F65D5829E8DAE80EB2,data analyst,adzuna,2026-09-01,
Data Quality Analyst,Sambodhi Research and Communications Pvt. Ltd.,India,,https://www.adzuna.in/land/ad/5864442886?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=098165625AD5F210BFEF1A3E40FBBB890EC719D4,data analyst,adzuna,2026-09-01,
IS Data Security - Analyst,ABB,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5843766762?se=oikhAyum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=10E7F647774D145FD5779E5E48176C6A2A5877E6,data analyst,adzuna,2026-09-01,
Business Analyst,Capco,India,,https://www.adzuna.in/land/ad/5837139386?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=E3DCC2DBFE4E6A7A1CEDD56C704AE19E69B379A7,business analyst,adzuna,2026-09-01,
Business Analyst - Liquidity,Capco,India,,https://www.adzuna.in/land/ad/5838614313?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=5D952B1C2165B4F64537AFBA8F777EC4BC45A071,business analyst,adzuna,2026-09-01,
Fraud Business Analyst,Standard Chartered Bank,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5837139231?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=9EB7DB70AEB7AAC9053AABE30A9302B57160D866,business analyst,adzuna,2026-09-01,
Business Analyst_Basel,Capco,India,,https://www.adzuna.in/land/ad/5837139692?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=F5E0A0664729AF9681D085F988CD8DAF99AE0327,business analyst,adzuna,2026-09-01,
Business Analyst / Product Owner,Capco,"Chennai, Tamil Nadu",,https://www.adzuna.in/land/ad/5857982662?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=E6F707E9F9FE4DCFAB714B02C6A59C6E8413C127,business analyst,adzuna,2026-09-01,
"Business Analyst, Subledger Change",Standard Chartered Bank,"Chennai, Tamil Nadu",,https://www.adzuna.in/land/ad/5842115043?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=CB41CADBEFA7A10F63F372BC45DE44AB09879D32,business analyst,adzuna,2026-09-01,
"Business Analyst, Content Enablement",Novartis,India,,https://www.adzuna.in/land/ad/5815611056?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=397DE29BB585DACB89502F7664565DD97346859B,business analyst,adzuna,2026-09-01,
"Business Analyst, Subledger Change",Standard Chartered Bank,"Chennai, Tamil Nadu",,https://www.adzuna.in/land/ad/5840277311?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=7820AD10C96769A4B6AB59A0CD613D907B30EBF2,business analyst,adzuna,2026-09-01,
Advanced Business Analyst II,Invesco,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5860916280?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=7A94059D5EE20E6E939F489A328460C3F69F191F,business analyst,adzuna,2026-09-01,
Oracle CPQ Business Analyst (Functional),Tata Consultancy Services,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5864435444?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=C70DD61D047A76DACD1293573C53B4EB5B7F7DEE,business analyst,adzuna,2026-09-01,
Oracle CPQ Business Analyst (Functional),Tata Consultancy Services,"Mumbai, Maharashtra",,https://www.adzuna.in/land/ad/5864437931?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=4530AD2F17DBE140865D0B28A0996DCC494D1BBC,business analyst,adzuna,2026-09-01,
Business Analyst - Custody & Trade Processing,Capco,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5837139464?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=9B873E0CCC9FF124D27EC6C97E233569129CE6C0,business analyst,adzuna,2026-09-01,
Oracle CPQ Business Analyst (Functional),Tata Consultancy Services,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5864422325?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=5B296342D9397DD6B9C3E9D0C2E1A207BFEDF09C,business analyst,adzuna,2026-09-01,
"IT&D Business Analyst, Quality",Reckitt,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5837139807?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=3D96E7E9267B37E23061552F67DF328CDBCB8E91,business analyst,adzuna,2026-09-01,
Sr. Business Analyst - Change Management,Invesco,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5809380560?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=00FA745C9BFF72E03F8565053777597E4114B25A,business analyst,adzuna,2026-09-01,
Nostro Risk Reporting Business Analyst,Capco,"Chennai, Tamil Nadu",,https://www.adzuna.in/land/ad/5837139548?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=FE0B40EBBB5BC83F91C643296839DDB9E52E3E17,business analyst,adzuna,2026-09-01,
Business Analyst – Cash Management & Intraday Liquidity,Capco,India,,https://www.adzuna.in/land/ad/5837139481?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=9164B7D4E7E10EA6F7B9DAEA6492B89AEE051E14,business analyst,adzuna,2026-09-01,
Business Analyst-Third Party Risk Management,Capco,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5837139914?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=D0881E74DD6EF225270AA28AF3565E757E8267A3,business analyst,adzuna,2026-09-01,
"Business Analyst/AI Translator, Credit Risk",Deutsche Bank,"Mumbai, Maharashtra",,https://www.adzuna.in/land/ad/5860300765?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=5098E8A57654FBAA2CC69FE6295671A3B98E8257,business analyst,adzuna,2026-09-01,
"IT&D Business Analyst, SAP Pricing",Reckitt,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5865064905?se=zvAhBSum8RGJt8da0aO2QA&utm_medium=api&utm_source=9ab09207&v=D0FE65CC5E0B08A5A98B2FC55FB898755A0A4B92,business analyst,adzuna,2026-09-01,
"IT&D Senior Business Analyst, Rewards & Benefits",Reckitt,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5837139504?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=4E720F36FFBE8800D6C7890BA9EFFA5233B9F5CF,business analyst,adzuna,2026-09-01,
Business Data Analyst,Capco,India,,https://www.adzuna.in/land/ad/5837139431?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=9F2281852FD004BE4D0EAD9279FE898C7B3E11ED,business analyst,adzuna,2026-09-01,
Senior Business Analysis - Sr Business Analyst - BNPP - Paribas,Capco,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5857251124?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=2BDA6E1E87A7D7EDE3952410F9E14A4AB2AA5A62,business analyst,adzuna,2026-09-01,
"Project & Change Lead – Business Analyst/Project Manager, AVP",Deutsche Bank,"Mumbai, Maharashtra",,https://www.adzuna.in/land/ad/5846723391?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=24650F9F441F0DA328596550392B38511B7AF478,business analyst,adzuna,2026-09-01,
"Project & Change Lead – Business Analyst/Project Manager, AVP",Deutsche Bank,"Mumbai, Maharashtra",,https://www.adzuna.in/land/ad/5860300789?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=1C1ABFD9D46439949C0EBD2EF9122A4F14817D3E,business analyst,adzuna,2026-09-01,
Principal Business Systems Analyst,Cornerstone OnDemand,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5837138886?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=BA78504A2BD51C4E8BE535B9A6B85D92D8F286DF,business analyst,adzuna,2026-09-01,
Sr Business Application Analyst,Moody's,India,,https://www.adzuna.in/land/ad/5846723453?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=EE2C4EDF00E47D65D245236B78E92008D3599176,business analyst,adzuna,2026-09-01,
"Business Management Analyst, NCT",Deutsche Bank,"Pune, Maharashtra",,https://www.adzuna.in/land/ad/5846723135?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=A5AA54991B2C4468C4D8836717F17BA6A3E56F93,business analyst,adzuna,2026-09-01,
